,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG-Ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
45,ENRU.ME,Public Joint-Stock Company Enel Russia,Russia,MCX,RUB,Common Stock,RU000A0F5UN3,3,,Utilities—Regulated Electric,Utilities,0.7631305,31042379776,0.83262855,0.8106979,0.06419,0.10326
47,ETLN.ME,Etalon Group PLC,Russia,MCX,RUB,Common Stock,,5,,Real Estate—Development,Real Estate,0.7230474,36928741376,120.56343,121.98099,0.025880001,0.26907
48,FEES.ME,Public Joint-Stock Company Federal Grid Company of Unified Energy System,Russia,MCX,RUB,Common Stock,RU000A0JPNN9,6,,Utilities—Regulated Electric,Utilities,0.26182055,253877665792,0.19899486,0.21323873,0.2464,0.75791
49,FESH.ME,Far-Eastern Shipping Company PLC,Russia,MCX,RUB,Common Stock,RU0008992318,8,,Integrated Freight & Logistics,Industrials,19.688072,63333822464,17.964,15.304296,0.1291,0.32345
50,FIVE.ME,X5 Retail Group N.V,Russia,MCX,RUB,Common Stock,US98387E2054,7,,Grocery Stores,Consumer Defensive,6.3859096,659596509184,2421.2285,2406.067,0.015859999,0.25207
51,FLOT.ME,Sovcomflot Pao,Russia,MCX,RUB,Common Stock,RU000A0JXNU8,7,,Marine Shipping,Industrials,51.26248,,87.268,89.96099,0.16178,0.59529996
67,GAZA.ME,Public Joint Stock Company GAZ,Russia,MCX,RUB,Common Stock,RU0009034268,7,,Auto Manufacturers,Consumer Cyclical,7.458567,8821449728,475.0,466.12677,0.019960001,0.17732
68,GAZAP.ME,Public Joint Stock Company GAZ,Russia,MCX,RUB,Common Stock,,7,,Auto Manufacturers,Consumer Cyclical,5.638677,7020858368,389.55713,378.94717,0.019960001,0.17732
69,GAZP.ME,Public Joint Stock Company Gazprom,Russia,MCX,RUB,Common Stock,RU0007661625,4,,Oil & Gas Integrated,Energy,0.5178326,7677058482176,291.54172,259.2505,0.10177,0.62738
70,GCHE.ME,"Public Joint Stock Company ""Cherkizovo Group""",Russia,MCX,RUB,Common Stock,RU000A0JL4R1,8,,Packaged Foods,Consumer Defensive,1.6893902,120678178816,2430.2285,2317.081,0.11783,0.26319
