,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG-Ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
90,0098.HK,Xingfa Aluminium Holdings Limited,Hong Kong,HK,HKD,Common Stock,KYG9828C1078,,,,,,,,,,
91,0098-OL.HK,XINGFA ALUM,Hong Kong,HK,HKD,Common Stock,,,,,,,,,,,
92,0099.HK,Wong's International Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG9738G1078,,,,,,,,,,
93,0101.HK,Hang Lung Properties Limited,Hong Kong,HK,HKD,Common Stock,HK0101000591,,,,,,,,,,
94,0102.HK,Summit Ascent Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG8565U1302,,,,,,,,,,
95,0103.HK,Shougang Concord Century Holdings Limited,Hong Kong,HK,HKD,Common Stock,HK0103000607,,,,,,,,,,
96,0104.HK,Asia Commercial Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG0532V2009,,,,,,,,,,
97,0105.HK,Associated International Hotels Limited,Hong Kong,HK,HKD,Common Stock,HK0105000613,,,,,,,,,,
98,0106.HK,Landsea Green Properties Co. Ltd,Hong Kong,HK,HKD,Common Stock,BMG5370A1018,,,,,,,,,,
99,0107.HK,Sichuan Expressway Company Limited,Hong Kong,HK,HKD,Common Stock,CNE100000494,,,,,,,,,,
100,0108.HK,GR Properties Limited,Hong Kong,HK,HKD,Common Stock,HK0108000628,,,,,,,,,,
101,0110.HK,China Fortune Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG2154Z1216,,,,,,,,,,
102,0111.HK,Cinda International Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG2143M1082,,,,,,,,,,
103,0113.HK,Dickson Concepts (International) Limited,Hong Kong,HK,HKD,Common Stock,BMG275871231,,,,,,,,,,
104,0114.HK,Herald Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG4410A1062,,,,,,,,,,
105,0115.HK,Grand Field Group Holdings Limited,Hong Kong,HK,HKD,Common Stock,BMG4054H1694,,,,,,,,,,
