,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG-Ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
47,ACB.AX,A-Cap Energy Limited,Australia,AU,AUD,Common Stock,AU000000ACB7,1,,Other Industrial Metals & Mining,Basic Materials,2.857143,52313100,0.055714287,0.057187945,0.0,1.0
49,ACF.AX,Acrow Formwork and Construction Services Limited,Australia,AU,AUD,Common Stock,AU0000006124,5,,Engineering & Construction,Industrials,1.4727273,89850064,0.4355,0.38652483,0.04967,0.61818004
50,ACL.AX,Australian Clinical Labs Limited,Australia,AU,AUD,Common Stock,,,,Diagnostics & Research,Healthcare,,904216320,4.084857,3.80125,0.0795,0.78441
51,ACP.AX,Audalia Resources Limited,Australia,AU,AUD,Common Stock,AU000000ACP7,1,,Other Industrial Metals & Mining,Basic Materials,2,9689904,0.015714286,0.023751773,0.0,0.0
52,ACQ.AX,Acorn Capital Investment Fund Limited,Australia,AU,AUD,Common Stock,AU000000ACQ5,,,Asset Management,Financial Services,1.1451169,112636072,1.5254285,1.5862497,0.61842996,1.0
53,ACR.AX,Acrux Limited,Australia,AU,AUD,Common Stock,AU000000ACR3,,,Biotechnology,Healthcare,1.8115942,35413124,0.12557143,0.14182624,0.0,-2.12274
54,ACS.AX,Accent Resources N.L,Australia,AU,AUD,Common Stock,AU000000ACS1,2,,Other Industrial Metals & Mining,Basic Materials,,24699432,0.0518,0.05971831,0.0,1.0
55,ACU.AX,Acumentis Group Limited,Australia,AU,AUD,Common Stock,AU0000010324,2,,Real Estate Services,Real Estate,0.84745765,23850750,0.12828572,0.120460995,0.045100003,0.25037
56,ACW.AX,Actinogen Medical Limited,Australia,AU,AUD,Common Stock,AU000000ACW3,,,Biotechnology,Healthcare,10,182661600,0.09797143,0.079815604,-1.28273,1.0
57,AD1.AX,AD1 Holdings Limited,Australia,AU,AUD,Common Stock,AU000000AD13,,,Staffing & Employment Services,Industrials,5.1428566,22318380,0.0396,0.040921986,-0.55521,-0.13901
58,AD8.AX,Audinate Group Limited,Australia,AU,AUD,Common Stock,AU000000AD88,,,Electronic Components,Technology,9.72512,782577408,9.982572,8.388298,-0.19253999,0.76432997
