,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
197,628.SZ,ChengDu Hi-Tech Development Co. Ltd,,SHE,CNY,Common Stock,CNE0000005X3,,,,,,,,,,
198,629.SZ,Pangang Group Vanadium & Titanium Resources Co. Ltd,,SHE,CNY,Common Stock,CNE0000007H2,,,,,,,,,,
199,630.SZ,Tongling Nonferrous Metals Group Co.Ltd,,SHE,CNY,Common Stock,CNE000000529,,,,,,,,,,
200,631.SZ,Shunfa Hengye Corporation,,SHE,CNY,Common Stock,CNE000000990,,,,,,,,,,
201,632.SZ,Fujian Sanmu Group Co. Ltd,,SHE,CNY,Common Stock,CNE000000685,,,,,,,,,,
202,633.SZ,Xinjiang Hejin Holding Co.Ltd,,SHE,CNY,Common Stock,CNE000000081,,,,,,,,,,
203,635.SZ,Ningxia Yinglite Chemicals Co. Ltd,,SHE,CNY,Common Stock,CNE000000N71,,,,,,,,,,
204,636.SZ,Guangdong Fenghua Advanced Technology (Holding) Co. Ltd,,SHE,CNY,Common Stock,CNE000000GH8,,,,,,,,,,
205,637.SZ,Maoming Petro-Chemical Shihua Co. Ltd,,SHE,CNY,Common Stock,CNE0000000M7,,,,,,,,,,
206,638.SZ,Vanfund Urban Investment and Development Co. Ltd,,SHE,CNY,Common Stock,CNE0000008Y5,,,,,,,,,,
207,639.SZ,Xiwang Foodstuffs Co.Ltd,,SHE,CNY,Common Stock,CNE000000008,,,,,,,,,,
208,650.SZ,Renhe Pharmacy Co. Ltd,,SHE,CNY,Common Stock,CNE000000NF8,,,,,,,,,,
209,651.SZ,Gree Electric Appliances Inc. of Zhuhai,,SHE,CNY,Common Stock,CNE0000001D4,,,,,,,,,,
210,652.SZ,Tianjin Teda Co. Ltd,,SHE,CNY,Common Stock,CNE0000005D5,,,,,,,,,,
211,655.SZ,Shandong Jinling Mining Co. Ltd,,SHE,CNY,Common Stock,CNE000000131,,,,,,,,,,
212,656.SZ,Jinke Property Group Co. Ltd,,SHE,CNY,Common Stock,CNE000000073,,,,,,,,,,
213,657.SZ,China Tungsten and Hightech Materials Co.Ltd,,SHE,CNY,Common Stock,CNE0000006M4,,,,,,,,,,
214,659.SZ,Zhuhai Zhongfu Enterprise Co.Ltd,,SHE,CNY,Common Stock,CNE0000000C8,,,,,,,,,,
215,661.SZ,Changchun High & New Technology Industry (Group) Inc,,SHE,CNY,Common Stock,CNE0000007J8,,,,,,,,,,
216,663.SZ,Fujian Yongan Forestry (Group) Joint-Stock Co. Ltd,,SHE,CNY,Common Stock,CNE000000CS4,,,,,,,,,,
217,665.SZ,Hubei Radio & Television Information Network Co. Ltd,,SHE,CNY,Common Stock,CNE0000000W6,,,,,,,,,,
218,666.SZ,Jingwei Textile Machinery Company Limited,,SHE,CNY,Common Stock,CNE000000JN0,,,,,,,,,,
219,667.SZ,Myhome Real Estate Development Group Co. Ltd,,SHE,CNY,Common Stock,CNE0000001B8,,,,,,,,,,
220,668.SZ,Rongfeng Holding Group Co.Ltd,,SHE,CNY,Common Stock,CNE0000000Q8,,,,,,,,,,
221,669.SZ,Jinhong Holding Group Co. Ltd,,SHE,CNY,Common Stock,CNE000000693,,,,,,,,,,
222,671.SZ,Yango Group Co. Ltd,,SHE,CNY,Common Stock,CNE000000206,,,,,,,,,,
223,672.SZ,Gansu Shangfeng Cement Co.Ltd,,SHE,CNY,Common Stock,CNE0000004Q0,,,,,,,,,,
