,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG-Ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
115,BEP-PG.TO,Brookfield Renewable Partners L.P,Canada,TO,CAD,Common Stock,,2,,Utilities—Renewable,Utilities,1.4219822,15722594304,26.99212,26.390253,-0.10779,0.67612
116,BEP-PK.TO,Brookfield Renewable Partners L.P,Canada,TO,CAD,Common Stock,,2,,Utilities—Renewable,Utilities,1.3459824,16601555968,25.58091,25.409275,-0.10779,0.67612
117,BEP-PM.TO,Brookfield Renewable Partners L.P,Canada,TO,CAD,Common Stock,,2,,Utilities—Renewable,Utilities,1.4717789,16720065536,25.61303,25.32942,-0.10779,0.67612
118,BEP-PO.TO,Brookfield Renewable Partners L.P,Canada,TO,CAD,Common Stock,,2,,Utilities—Renewable,Utilities,1.5654638,15373189120,26.865454,26.308332,-0.10779,0.67612
119,BEP-UN.TO,Brookfield Renewable Partners L.P,Canada,TO,CAD,Common Stock,BMG162581083,2,-3.03,Utilities—Renewable,Utilities,3.0193152,14351641600,49.390305,49.39706,-0.10779,0.67612
120,BEPC.TO,Brookfield Renewable Corporation,Canada,TO,CAD,Common Stock,CA11284V1058,2,,Utilities—Renewable,Utilities,17.131878,9596817408,53.7497,53.42713,-0.88445,0.64736
121,BGI-UN.TO,Brookfield Global Infrastructure Securities Income Fund,Canada,TO,CAD,Common Stock,,,,Asset Management,Financial Services,,123709440,7.6651516,7.4325733,0,0
122,BHC.TO,Bausch Health Companies Inc,Canada,TO,CAD,Common Stock,CA0717341071,4,,Drug Manufacturers—Specialty & Generic,Healthcare,,13257068544,35.37818,37.376175,-0.1518,0.71444
123,BIK-PA.TO,BIP Investment Corporation,Canada,TO,CAD,Common Stock,,,,Asset Management,Financial Services,,,26.687647,26.29338,0,0
124,BIP-PA.TO,Brookfield Infrastructure Partners L.P,Canada,TO,CAD,Common Stock,,6,,Utilities—Diversified,Utilities,1.7284569,9622664192,24.551516,23.383696,0.02059,0.47182998
125,BIP-PB.TO,Brookfield Infrastructure Partners L.P,Canada,TO,CAD,Common Stock,,6,,Utilities—Diversified,Utilities,1.9317205,10754274304,27.036667,26.592972,0.02059,0.47182998
126,BIP-PC.TO,Brookfield Infrastructure Partners L.P,Canada,TO,CAD,Common Stock,,6,,Utilities—Diversified,Utilities,1.7885771,9957365760,25.259848,25.31482,0.02059,0.47182998
127,BIP-PD.TO,Brookfield Infrastructure Partners L.P,Canada,TO,CAD,Common Stock,,6,,Utilities—Diversified,Utilities,1.8100487,10076902400,25.433636,25.311811,0.02059,0.47182998
128,BIP-PE.TO,Brookfield Infrastructure Partners L.P,Canada,TO,CAD,Common Stock,,6,,Utilities—Diversified,Utilities,1.8186373,10124716032,25.487425,25.214493,0.02059,0.47182998
129,BIP-PF.TO,Brookfield Infrastructure Partners L.P,Canada,TO,CAD,Common Stock,,6,,Utilities—Diversified,Utilities,1.8186373,10124716032,25.688787,25.298407,0.02059,0.47182998
130,BIP-UN.TO,Brookfield Infrastructure Partners L.P,Canada,TO,CAD,Common Stock,BMG162521014,6,,Utilities—Diversified,Utilities,5.1724877,21358602240,69.86667,67.54441,0.02059,0.47182998
131,BIPC.TO,Brookfield Infrastructure Corporation,Canada,TO,CAD,Common Stock,CA11275Q1072,2,,Utilities—Regulated Gas,Utilities,,3596481536,81.42606,87.60206,-0.58616,0.82629997
132,BIR.TO,Birchcliff Energy Ltd,Canada,TO,CAD,Common Stock,CA0906971035,3,0.25,Oil & Gas E&P,Energy,1.0060362,1595634048,4.910303,3.8455148,0.01651,0.59264
133,BK.TO,Canadian Banc Corp,Canada,TO,CAD,Common Stock,CA13536V1076,,,Asset Management,Financial Services,1.3834037,133173368,12.328182,11.705882,0.90209997,1
134,BKI.TO,Black Iron Inc,Canada,TO,CAD,Common Stock,CA09214V1040,3,,Other Industrial Metals & Mining,Basic Materials,159.99998,87076800,0.37515152,0.44808823,0,0
135,BL-UN.TO,Global Innovation Dividend Fund,Canada,TO,CAD,Common Stock,,,,,,,,,,,
136,BLB-UN.TO,Bloom Select Income Fund,Canada,TO,CAD,Common Stock,,,,,,,,,,0,0
137,BLDP.TO,Ballard Power Systems Inc,Canada,TO,CAD,Common Stock,CA0585861085,,,Specialty Industrial Machinery,Industrials,4.530095,6382704640,20.036364,23.855074,-0.68181,0.17405
138,BLN.TO,Blackline Safety Corp,Canada,TO,CAD,Common Stock,CA0923821007,2,,Software—Application,Technology,6.663763,415766784,8.05394,8.465258,-0.26285,0.51723
139,BLU.TO,BELLUS Health Inc,Canada,TO,CAD,Common Stock,CA07987C2040,,,Biotechnology,Healthcare,2.9370217,390903616,4.0236363,4.5142646,0,1
140,BLX.TO,Boralex Inc,Canada,TO,CAD,Common Stock,CA09950M3003,6,6.14,Utilities—Renewable,Utilities,3.838052,4076026880,38.04,38.853016,0.06147,0.75711995
141,BMO.TO,Bank of Montreal,Canada,TO,CAD,Common Stock,CA0636711016,4,0.46,Banks—Diversified,Financial Services,1.6128628,83181780992,126.66818,120.45838,0.25075,0
142,BMO-PA.TO,BMO-PA,Canada,TO,CAD,Common Stock,,,,,,,,25.018965,24.965588,,
143,BMO-PB.TO,Bank of Montreal,Canada,TO,CAD,Common Stock,,4,,Banks—Diversified,Financial Services,0.31880713,63494414336,25.468485,25.630978,0.25075,0
144,BMO-PC.TO,Bank of Montreal,Canada,TO,CAD,Common Stock,,4,,Banks—Diversified,Financial Services,0.32006228,72777515008,25.619698,25.468985,0.25075,0
145,BMO-PD.TO,Bank of Montreal,Canada,TO,CAD,Common Stock,,4,,Banks—Diversified,Financial Services,0.31968573,76129067008,25.481213,25.41692,0.25075,0
146,BMO-PE.TO,Bank of Montreal,Canada,TO,CAD,Common Stock,,4,,Banks—Diversified,Financial Services,0.31867573,79250776064,25.545454,25.098913,0.24375,0
147,BMO-PF.TO,BMO-PF,Canada,TO,CAD,Common Stock,,,,,,,,26.83212,26.522717,,
148,BMO-PS.TO,BMO-PS,Canada,TO,CAD,Common Stock,,,,,,,,24.169697,23.696196,,
149,BMO-PT.TO,BMO-PT,Canada,TO,CAD,Common Stock,,,,,,,,23.771818,23.139238,,
150,BMO-PW.TO,Bank of Montreal,Canada,TO,CAD,Common Stock,,4,,Banks—Diversified,Financial Services,0.30299228,94033264640,23.95697,23.347971,0.25075,0
151,BMO-PY.TO,Bank of Montreal,Canada,TO,CAD,Common Stock,,4,,Banks—Diversified,Financial Services,0.3145396,85193973760,24.583637,24.079275,0.25075,0
